                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.75346,                0.61805,                0.96678,                 1.0893,                0.70759,                0.87046,                0.84315,                0.63154,                0.83235,                0.76281,                0.84539,                0.46806,                 0.8991,                0.38908,                 1.0426,                 1.3803,             0.00065323,             0.00065323,             0.00065323
                     45,                0.81098,                 0.6088,                 1.0061,                 1.0991,                 0.7199,                0.80115,                0.80511,                0.56403,                0.73063,                0.81226,                0.81557,                 0.4739,                0.97438,                0.40449,                 1.1251,                 1.4489,             0.00062965,             0.00062965,             0.00062965
                     46,                0.76155,                0.58703,                0.92265,                 1.0624,                0.81713,                0.78737,                0.85333,                0.61517,                0.81307,                0.78404,                0.85496,                0.46843,                0.94318,                0.36496,                0.98982,                 1.4353,             0.00060607,             0.00060607,             0.00060607
                     47,                0.75615,                 0.5192,                0.88695,                 1.0593,                0.82573,                0.84966,                0.87534,                0.65111,                0.83325,                 0.8552,                0.87832,                 0.4863,                0.89755,                0.37089,                0.94636,                 1.3809,              0.0005825,              0.0005825,              0.0005825
                     48,                0.71085,                0.53606,                0.87954,                 1.0417,                0.83728,                 0.8178,                0.88402,                0.65125,                0.85438,                0.83545,                 0.8937,                0.51648,                0.91257,                0.35311,                0.95641,                  1.383,             0.00055892,             0.00055892,             0.00055892
                     49,                0.72654,                 0.5501,                0.84316,                  1.056,                0.80064,                 0.7798,                0.83068,                0.62481,                0.84972,                0.76078,                0.84577,                0.45389,                0.92129,                 0.3593,                 1.0417,                 1.4003,             0.00053535,             0.00053535,             0.00053535
                     50,                0.71216,                0.54364,                0.82685,                 1.0426,                0.81258,                0.76465,                0.84791,                0.64383,                0.81258,                0.76465,                 0.8472,                0.47139,                0.90371,                0.34291,                 1.0161,                 1.3994,             0.00051177,             0.00051177,             0.00051177
                     51,                0.71383,                0.56054,                0.83382,                 1.0395,                0.76707,                0.77482,                0.84432,                0.62289,                0.76707,                0.77482,                0.84933,                0.49996,                0.93037,                0.36414,                0.99124,                  1.455,             0.00048819,             0.00048819,             0.00048819
                     52,                0.71805,                0.56384,                0.82434,                 1.0443,                 0.7451,                0.84697,                0.85034,                0.65557,                0.80277,                0.78353,                0.84148,                0.47035,                0.84751,                0.34634,                  0.946,                 1.3433,             0.00046462,             0.00046462,             0.00046462
                     53,                0.69182,                0.54802,                0.79117,                 1.0493,                0.79785,                0.79798,                0.84672,                0.65492,                0.79785,                0.79798,                0.84714,                0.47524,                0.85046,                0.36822,                0.96497,                 1.3374,             0.00044104,             0.00044104,             0.00044104
                     54,                0.59868,                0.49809,                0.73755,                 1.0005,                0.78706,                0.76774,                0.82876,                0.64079,                0.76815,                0.85758,                0.84166,                 0.5018,                0.85437,                0.36323,                0.97797,                 1.3729,             0.00041746,             0.00041746,             0.00041746
                     55,                0.64792,                 0.5629,                0.77161,                 1.0158,                0.77373,                0.76779,                 0.8237,                0.64422,                0.76698,                0.76555,                0.81693,                0.45939,                0.84274,                0.34599,                0.93621,                 1.3783,             0.00039389,             0.00039389,             0.00039389
                     56,                0.63214,                0.49645,                0.73825,                 1.0114,                0.72624,                0.81771,                0.85247,                0.64737,                0.78151,                0.76399,                0.84502,                0.48018,                0.88199,                 0.3416,                0.91767,                 1.3904,             0.00037031,             0.00037031,             0.00037031
                     57,                0.65419,                0.52832,                0.73867,                 1.0132,                0.78699,                0.80505,                0.86557,                0.67072,                 0.7982,                0.81616,                0.87122,                0.51632,                0.84699,                0.34366,                0.89231,                 1.3938,             0.00034674,             0.00034674,             0.00034674
                     58,                0.62745,                 0.4968,                0.73631,                0.99427,                0.76643,                0.79175,                0.84284,                0.66248,                0.83758,                0.78232,                0.86165,                0.52659,                 0.8815,                0.33767,                0.94511,                 1.4231,             0.00032316,             0.00032316,             0.00032316
                     59,                0.61738,                0.50633,                0.73362,                 1.0061,                 0.8096,                0.75909,                0.83537,                0.64437,                0.81819,                0.77448,                0.84084,                0.51078,                0.86826,                0.33343,                 1.0169,                 1.3985,             0.00029958,             0.00029958,             0.00029958
                     60,                0.80181,                 0.4225,                 1.1028,                 1.2187,                0.77237,                0.72891,                0.81171,                0.61462,                0.80111,                0.75871,                0.82938,                0.48788,                0.89983,                 0.3264,                 1.1282,                 1.4555,             0.00027601,             0.00027601,             0.00027601
                     61,                0.73006,                0.41344,                0.95829,                 1.1415,                0.76444,                0.73396,                 0.8084,                0.61209,                0.76949,                0.77309,                0.82964,                0.47214,                0.90379,                0.32754,                 1.1377,                  1.486,             0.00025243,             0.00025243,             0.00025243
                     62,                 0.7022,                 0.4095,                0.86269,                  1.077,                 0.8465,                0.78646,                0.84553,                0.63623,                0.78215,                0.85051,                0.86901,                0.48891,                0.89825,                0.33001,                0.97917,                 1.4464,             0.00022886,             0.00022886,             0.00022886
                     63,                 0.6852,                0.37299,                 0.8694,                 1.0633,                0.82322,                0.83536,                0.85958,                0.64907,                0.82322,                0.83536,                0.86999,                0.47299,                 0.9159,                0.32975,                0.91221,                 1.4591,             0.00020528,             0.00020528,             0.00020528
                     64,                0.68543,                0.39325,                 0.8592,                 1.1042,                0.79231,                0.78535,                0.85265,                0.64711,                0.78822,                0.78406,                0.84933,                 0.4597,                0.86723,                 0.3289,                0.99362,                 1.4355,              0.0001817,              0.0001817,              0.0001817
                     65,                 0.7003,                0.38028,                0.82683,                 1.0572,                0.74258,                0.80279,                 0.8311,                0.62927,                 0.7487,                0.82186,                 0.8302,                 0.4521,                0.85779,                0.32753,                 1.0571,                 1.4185,             0.00015813,             0.00015813,             0.00015813
                     66,                0.66111,                0.37904,                0.80266,                 1.0569,                0.77715,                0.85751,                0.86134,                0.66661,                0.74807,                0.85758,                0.84607,                0.47229,                0.83171,                0.32707,                0.97156,                  1.397,             0.00013455,             0.00013455,             0.00013455
                     67,                0.67391,                0.39661,                0.81894,                 1.0663,                0.87876,                 0.8197,                0.89597,                0.70845,                0.87606,                0.81616,                0.89269,                0.50522,                0.79443,                0.32346,                0.86506,                 1.3491,             0.00011097,             0.00011097,             0.00011097
                     68,                0.63278,                 0.3888,                0.76278,                 1.0063,                0.88348,                0.82412,                0.89489,                0.71855,                0.88045,                0.81993,                0.89777,                0.50989,                0.76784,                0.32402,                0.81856,                 1.3235,             8.7398e-05,             8.7398e-05,             8.7398e-05
                     69,                0.61166,                0.37826,                0.75667,                  1.041,                0.86926,                0.85354,                0.89955,                0.71272,                0.84852,                0.84242,                0.89484,                0.51017,                0.75527,                 0.3249,                0.82196,                 1.3123,             6.3822e-05,             6.3822e-05,             6.3822e-05
