                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.75938,                0.69451,                0.68824,                0.92305,                0.83392,                0.84507,                 0.8679,                0.67534,                0.60003,                0.58762,                0.51581,                0.15014,                0.76534,                0.42372,                0.79098,                 1.0182,             0.00074282,             0.00074282,             0.00074282
                     58,                0.73878,                0.64365,                0.72462,                0.92639,                0.86762,                0.81685,                0.90595,                0.71564,                 0.5782,                0.65206,                0.55088,                 0.1768,                0.75064,                0.41186,                 0.7941,                 1.0186,             0.00072631,             0.00072631,             0.00072631
                     59,                0.70982,                0.66255,                0.70641,                0.92579,                0.84146,                0.84249,                 0.8761,                0.70195,                 0.6261,                0.60556,                0.52659,                0.17936,                0.73987,                0.42135,                0.82407,                 1.0213,             0.00070981,             0.00070981,             0.00070981
                     60,                0.70719,                0.63834,                0.65756,                 0.9175,                0.78687,                0.86473,                0.86375,                0.69249,                0.55479,                0.59848,                0.52569,                0.18392,                 0.6983,                 0.4052,                0.79527,                0.97512,             0.00069331,             0.00069331,             0.00069331
                     61,                0.67602,                0.61037,                0.64901,                0.92995,                0.82276,                0.81355,                0.86444,                0.71705,                0.57307,                0.57222,                0.52865,                0.15116,                0.67744,                0.43148,                0.78189,                0.97267,              0.0006768,              0.0006768,              0.0006768
                     62,                0.69766,                0.62506,                0.63952,                0.92092,                0.80046,                0.89899,                0.88158,                0.72473,                0.60318,                0.67841,                0.56187,                0.19665,                0.70688,                0.42783,                0.74857,                 1.0056,              0.0006603,              0.0006603,              0.0006603
                     63,                 0.6702,                0.62228,                0.63813,                0.91581,                0.84398,                0.82524,                0.88173,                0.73327,                0.65128,                0.61655,                0.55596,                0.17537,                0.68663,                0.43061,                0.71108,                 1.0066,              0.0006438,              0.0006438,              0.0006438
                     64,                 0.6873,                0.67006,                0.63239,                0.91246,                0.83276,                0.87993,                0.91292,                0.75247,                0.70517,                0.66465,                0.62667,                0.20076,                0.71488,                 0.4234,                0.71863,                0.98898,             0.00062729,             0.00062729,             0.00062729
                     65,                0.68781,                 0.6229,                0.63399,                0.90699,                0.84259,                0.76768,                0.89718,                0.73997,                0.60698,                0.64646,                0.56125,                0.18054,                0.69483,                0.44994,                0.72692,                0.99967,             0.00061079,             0.00061079,             0.00061079
                     66,                0.68032,                0.59392,                0.66847,                0.91559,                0.88713,                0.83131,                0.91597,                0.76659,                0.61948,                0.67323,                0.58438,                0.19427,                0.67097,                0.45161,                0.67318,                0.96054,             0.00059429,             0.00059429,             0.00059429
                     67,                0.69111,                0.60793,                0.64823,                0.91244,                0.89152,                0.86864,                0.91066,                0.77266,                 0.6606,                0.62551,                0.56046,                0.17819,                0.65077,                0.43176,                0.66217,                0.94453,             0.00057778,             0.00057778,             0.00057778
                     68,                0.65948,                0.64029,                0.60619,                0.89986,                0.85123,                  0.848,                0.89802,                0.75778,                 0.6661,                0.64916,                0.57269,                0.17485,                0.62422,                0.40901,                0.67391,                0.93607,             0.00056128,             0.00056128,             0.00056128
                     69,                0.64179,                0.57916,                0.58017,                0.90814,                0.86945,                0.80909,                0.88361,                0.72658,                0.61268,                0.56061,                0.52813,                0.18354,                0.72359,                0.41288,                0.72352,                0.98826,             0.00054478,             0.00054478,             0.00054478
                     70,                0.65516,                0.62793,                0.58266,                0.90503,                0.89403,                0.79002,                0.89151,                0.73034,                0.60681,                0.56465,                 0.5273,                0.19555,                 0.7159,                0.41018,                0.71093,                 1.0023,             0.00052827,             0.00052827,             0.00052827
                     71,                0.65075,                 0.5841,                0.56971,                0.89832,                 0.8543,                0.88737,                0.90525,                0.76489,                0.66224,                0.66515,                 0.5839,                0.19181,                0.65523,                0.39607,                0.67211,                0.96459,             0.00051177,             0.00051177,             0.00051177
                     72,                0.63648,                0.59359,                0.56075,                0.89998,                0.83297,                0.86162,                0.88504,                0.73737,                 0.6023,                 0.6629,                0.55524,                0.17072,                0.68055,                0.39414,                 0.7092,                0.98896,             0.00049527,             0.00049527,             0.00049527
                     73,                0.62635,                0.61371,                0.56649,                0.89649,                0.84067,                0.80586,                0.87119,                0.70532,                0.61066,                0.61073,                0.57335,                0.19109,                0.74048,                0.41509,                0.75458,                 1.0204,             0.00047876,             0.00047876,             0.00047876
                     74,                0.59751,                0.54323,                0.55781,                0.89534,                0.83176,                0.83542,                0.87812,                0.72198,                0.61388,                0.60873,                0.53366,                0.17537,                0.69359,                0.40584,                0.77382,                 1.0152,             0.00046226,             0.00046226,             0.00046226
                     75,                 0.6356,                0.59053,                0.56774,                 0.8978,                0.87234,                0.82735,                0.88829,                 0.7284,                0.65202,                 0.6146,                 0.5507,                0.18728,                0.66442,                  0.397,                0.76827,                0.99264,             0.00044576,             0.00044576,             0.00044576
                     76,                0.58526,                0.56666,                0.54213,                0.88614,                0.87097,                0.80463,                0.88048,                0.73372,                0.62699,                0.62481,                0.55802,                 0.1895,                0.67124,                0.39184,                0.78586,                0.98487,             0.00042925,             0.00042925,             0.00042925
                     77,                0.61706,                0.58323,                0.54147,                0.90227,                0.83384,                0.78568,                0.85465,                0.71957,                 0.6166,                0.56818,                0.54014,                0.16581,                0.71457,                0.39461,                0.83299,                 1.0102,             0.00041275,             0.00041275,             0.00041275
                     78,                0.61774,                0.55854,                0.54913,                 0.8926,                0.85341,                0.79162,                0.87812,                  0.727,                0.67005,                0.55303,                0.54984,                0.16977,                0.67751,                0.39127,                0.76349,                 0.9915,             0.00039625,             0.00039625,             0.00039625
                     79,                0.59764,                0.58235,                0.53101,                0.90455,                0.86535,                0.84119,                 0.9021,                0.75642,                0.65345,                0.56243,                0.53444,                0.16168,                0.62948,                0.39002,                0.69573,                0.95387,             0.00037974,             0.00037974,             0.00037974
                     80,                0.58125,                  0.577,                0.54051,                0.89063,                0.88656,                0.84596,                0.91434,                0.77693,                 0.6695,                0.59394,                0.56007,                0.18056,                0.61302,                0.38669,                0.66392,                0.94133,             0.00036324,             0.00036324,             0.00036324
                     81,                0.60253,                0.60421,                0.51871,                0.89627,                0.86632,                0.91364,                0.91875,                0.78571,                0.62533,                0.64697,                0.57159,                0.21813,                0.62066,                0.38705,                0.65139,                0.93759,             0.00034674,             0.00034674,             0.00034674
                     82,                0.59219,                0.56693,                0.54329,                0.88681,                0.87334,                0.91099,                0.92078,                0.79091,                0.65848,                0.66997,                0.57946,                0.18128,                0.61847,                 0.3947,                0.63424,                0.94157,             0.00033023,             0.00033023,             0.00033023
                     83,                0.57574,                0.55651,                0.52785,                0.90012,                0.89324,                   0.85,                0.91497,                0.78165,                0.63722,                 0.6803,                0.58997,                0.19132,                0.63558,                0.39433,                0.63623,                0.95779,             0.00031373,             0.00031373,             0.00031373
                     84,                0.58308,                0.56936,                0.51813,                0.88193,                 0.8926,                0.81277,                0.90268,                0.77015,                0.69856,                0.62662,                0.59331,                0.19766,                 0.6348,                0.40675,                0.65513,                0.96605,             0.00029723,             0.00029723,             0.00029723
                     85,                0.54597,                 0.5132,                0.50936,                0.87255,                0.88245,                0.85781,                0.90109,                0.77721,                0.64752,                0.63393,                0.55504,                0.17746,                0.61224,                0.39436,                0.67328,                0.94281,             0.00028072,             0.00028072,             0.00028072
                     86,                 0.5811,                0.53047,                0.51097,                0.87215,                 0.8572,                0.87127,                0.89447,                0.76519,                0.62807,                0.63182,                0.54498,                0.19073,                0.60278,                0.38697,                0.67313,                0.93877,             0.00026422,             0.00026422,             0.00026422
                     87,                0.57156,                0.49823,                0.50481,                0.88278,                0.86399,                0.85404,                0.88356,                0.76359,                0.65254,                0.62424,                0.56097,                0.20073,                0.60227,                0.38989,                0.67554,                0.94046,             0.00024772,             0.00024772,             0.00024772
                     88,                0.54436,                0.54972,                0.50197,                0.86379,                0.83164,                0.86162,                0.87866,                0.75268,                0.61115,                0.62424,                0.53247,                0.18074,                0.61191,                0.39633,                 0.6723,                0.93859,             0.00023121,             0.00023121,             0.00023121
                     89,                0.56644,                0.56219,                 0.5053,                0.88582,                0.84841,                0.84646,                0.88089,                0.75702,                0.64648,                0.63889,                0.55751,                0.18317,                0.61195,                0.39804,                0.68365,                0.94205,             0.00021471,             0.00021471,             0.00021471
                     90,                0.54121,                0.41605,                0.57379,                0.86891,                0.88164,                 0.8306,                0.88147,                0.74852,                 0.6562,                0.62319,                0.57282,                 0.1978,                0.65631,                 0.4008,                0.72466,                0.96158,             0.00019821,             0.00019821,             0.00019821
                     91,                0.52332,                0.44752,                0.51184,                0.87995,                0.89756,                0.79829,                0.87677,                0.72266,                 0.6908,                0.60101,                 0.6022,                0.19868,                0.71264,                0.40506,                0.83234,                0.98239,              0.0001817,              0.0001817,              0.0001817
                     92,                0.52291,                0.45389,                0.49666,                0.86547,                0.87751,                0.82395,                0.89075,                0.74964,                0.65789,                0.62778,                0.58512,                0.19785,                0.67643,                 0.3988,                0.75626,                0.97018,              0.0001652,              0.0001652,              0.0001652
                     93,                0.47804,                 0.4764,                0.46296,                0.83754,                0.87165,                0.85404,                0.91284,                0.77434,                0.65941,                0.60843,                0.56845,                0.19049,                0.62175,                 0.3944,                0.64571,                0.94448,              0.0001487,              0.0001487,              0.0001487
                     94,                0.49299,                0.42947,                0.44153,                0.84373,                0.87385,                0.85504,                0.91216,                0.78614,                0.65545,                0.63182,                0.57187,                0.19183,                0.61385,                0.39302,                0.65067,                0.94139,             0.00013219,             0.00013219,             0.00013219
                     95,                0.49647,                0.42957,                0.46476,                0.85933,                0.89107,                0.83788,                0.90584,                0.78223,                0.66859,                0.63052,                0.57987,                0.19634,                0.61653,                0.39495,                0.65649,                0.93648,             0.00011569,             0.00011569,             0.00011569
                     96,                 0.4786,                0.45094,                0.43972,                0.83608,                0.89763,                0.84293,                0.90138,                0.77985,                 0.6597,                0.62071,                0.56916,                0.19518,                0.60359,                0.38815,                0.66058,                 0.9386,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.4941,                0.41709,                0.44527,                0.86356,                0.90449,                0.84293,                 0.8966,                0.77037,                0.63404,                0.63913,                0.55935,                0.18695,                0.60427,                0.38291,                0.68202,                0.94414,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 0.4532,                0.39917,                0.46369,                0.82756,                0.89577,                0.83391,                0.90231,                0.77804,                0.62295,                0.64343,                0.56054,                0.18336,                0.59851,                0.38416,                0.67865,                0.94592,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.44925,                0.40567,                0.42766,                0.83277,                0.86324,                0.84646,                0.89917,                0.77895,                0.62665,                0.62828,                0.55637,                0.18579,                0.58766,                0.38429,                0.67893,                0.94542,             4.9677e-05,             4.9677e-05,             4.9677e-05
